datestamp,file,id,influencer,initial,min,max
2022-01-08,2_PAO1_SA25923,PAO1,r,0.0812387820314512,-1.33308041499557,3.31425849567411
2022-01-08,2_PAO1_SA25923,PAO1,k,20.2847295223189,0,24.230293231324
2022-01-08,2_PAO1_SA25923,PAO1,SA25923,0.0121802744706072,-2,2
2022-01-08,2_PAO1_SA25923,SA25923,r,0.242850330295193,-1.47324844050725,3.21421159107277
2022-01-08,2_PAO1_SA25923,SA25923,k,16.1607207385597,0,21.5615106834784
2022-01-08,2_PAO1_SA25923,SA25923,PAO1,-0.0734518492429031,-2,2
2022-01-08,2_PAO1_SA25923_0024,PAO1,r,0.0498247885246149,-1.4097798691396,4.56105251780459
2022-01-08,2_PAO1_SA25923_0024,PAO1,k,19.4478687583691,0,23.7824133812451
2022-01-08,2_PAO1_SA25923_0024,PAO1,SA25923,-0.157514802569597,-2,2
2022-01-08,2_PAO1_SA25923_0024,SA25923,r,0.141928149042905,-0.638216136659853,2.03075320048273
2022-01-08,2_PAO1_SA25923_0024,SA25923,k,19.8851239031721,0,21.4138357632523
2022-01-08,2_PAO1_SA25923_0024,SA25923,PAO1,0.113351307040442,-2,2
2022-01-08,2_PAO1_SA25923_0048,PAO1,r,0.0963846354245024,-0.77207457472453,2.37745794081698
2022-01-08,2_PAO1_SA25923_0048,PAO1,k,19.2811582023672,0,24.1096966978811
2022-01-08,2_PAO1_SA25923_0048,PAO1,SA25923,-0.029396796148706,-2,2
2022-01-08,2_PAO1_SA25923_0048,SA25923,r,0.183501251394677,-1.13021250842565,2.70849145225415
2022-01-08,2_PAO1_SA25923_0048,SA25923,k,17.7423524277432,0,21.5147217735521
2022-01-08,2_PAO1_SA25923_0048,SA25923,PAO1,0.00194877879897591,-2,2
2022-01-08,2_PAO1_SA25923_2496,PAO1,r,0.027072877191862,-0.511880483594614,0.237321729068639
2022-01-08,2_PAO1_SA25923_2496,PAO1,k,19.8399080053885,0,24.5420602414894
2022-01-08,2_PAO1_SA25923_2496,PAO1,SA25923,0.00769106521848681,-2,2
