time_hr,PAO1,SC5314
0,17.1550751708819,11.3805109789182
0,15.8289937849749,9.85804799610975
0,16.2245050708602,11.7807242952328
3,17.9679322381709,11.6554299410119
3,18.6346805611514,11.9746215555967
3,18.1712277903802,11.9904456000493
6,17.3964270523077,11.9029789439833
6,17.4458221803992,11.6667411277468
6,18.439668119675,11.9025431242265
24,19.5939153402046,11.4882594333486
24,18.6324501793774,11.5401183354346
24,20.7089621315942,11.3633827823534
48,19.2746075026087,10.946969426136
48,19.5803083643443,10.2844639996317
48,18.2995356454244,9.65228523768647
