id,influencer,initial,min,max
PAO1,r,0.0483192038961138,-0.34973546399332,0.0534211702404148
PAO1,k,18.8208165791618,0,23.4950643105295
PAO1,SA25923,0.00245371283224718,-2,2
PAO1,SC5314,0.0251073152927833,-2,2
SA25923,r,0.268177970957549,-1.03312592504727,1.17406043665871
SA25923,k,18.5346860795702,0,23.1149914416696
SA25923,PAO1,-0.00618476973229277,-2,2
SA25923,SC5314,0.00537574147442289,-2,2
SC5314,r,0.868760946774192,-0.568484405072676,1.28419237884162
SC5314,k,10.4065835297816,0,13.3954135521634
SC5314,PAO1,-0.047317556674356,-2,2
SC5314,SA25923,0.0173342347020561,-2,2
