id,influencer,initial,min,max
PAO1,r,1.09997084991374,-2.23165011509582,2.0597681642268
PAO1,k,17.7876916936577,0,23.5920032367801
PAO1,SA25923,-0.0519960023002257,-2,2
PAO1,SC5314,0.00821582463990821,-2,2
SA25923,r,0.0851429223434959,-1.79337225823217,2.55030297332231
SA25923,k,17.2159439636361,0,22.8676824407997
SA25923,PAO1,-0.0307438239430404,-2,2
SA25923,SC5314,-0.0203254553263442,-2,2
SC5314,r,0.147956229556032,-0.711022885506846,0.551934878649562
SC5314,k,10.8932486063286,0,15.7141678878853
SC5314,PAO1,0.0132880091934275,-2,2
SC5314,SA25923,0.079760269409206,-2,2
