id,influencer,initial,min,max
PAO1,r,1.65270766467322,-0.897254847625696,2.18154998839415
PAO1,k,17.9247889436029,0,23.0846515896392
PAO1,SA25923,-0.0219120724246067,-2,2
PAO1,SC5314,0.00939696549876832,-2,2
SA25923,r,0.0181636345011272,-1.07663527748525,3.16011698325704
SA25923,k,16.4265730421933,0,21.4671399966358
SA25923,PAO1,-0.342853573769466,-2,2
SA25923,SC5314,0.00557197359115641,-2,2
SC5314,r,0.284022601169591,-0.704239123641454,0.853646781832571
SC5314,k,11.4437745909154,0,15.6590222152864
SC5314,PAO1,-0.44667091131632,-2,2
SC5314,SA25923,0.520049534698918,-2,2
