id,influencer,initial,min,max
PAO1,r,0.531701222073161,-1.29095626916722,3.0004620101554
PAO1,k,16.3302296968029,0,23.5920032367801
PAO1,SA25923,-0.0767433322655668,-2,2
PAO1,SC5314,-0.0563964971139509,-2,2
SA25923,r,0.0223690597078638,-1.07426442455774,3.26941080699675
SA25923,k,16.5726344708731,0,22.8676824407997
SA25923,PAO1,-0.13017115280662,-2,2
SA25923,SC5314,-0.100001222403324,-2,2
SC5314,r,0.467145331684718,-0.380069499044779,0.908070612421356
SC5314,k,12.7914008464318,0,15.7141678878853
SC5314,PAO1,0.11723850856901,-2,2
SC5314,SA25923,0.0946170389314071,-2,2
