id,influencer,initial,min,max
PAO1,r,0.25735634610816,-1.63737816578698,0.276952316300251
PAO1,k,18.7042949735317,0,23.7171831645934
PAO1,SA25923,-0.142102595861842,-2,2
PAO1,SC5314,0.17806776453214,-2,2
SA25923,r,0.377532564798322,-0.701762987377543,1.1020574040399
SA25923,k,18.6594020621416,0,23.0380029428997
SA25923,PAO1,0.000839408204666964,-2,2
SA25923,SC5314,0.0628890849183151,-2,2
SC5314,r,0.0835957605233214,-0.315793895987311,0.947163868169098
SC5314,k,9.69628338070623,0,13.3260402507013
SC5314,PAO1,0.144856310805255,-2,2
SC5314,SA25923,-0.189104023208111,-2,2
