time_hr,PAO1,SC5314
0.0,17.155075206334327,11.380522394666976
0.0,15.828993918497641,9.85810031912834
0.0,16.224505160765872,11.780731945820243
3.0,17.967932253897157,11.655438612811048
3.0,18.634680569224873,11.974627857715204
3.0,18.171227803213423,11.990451803228025
6.0,17.396427080157906,11.902985714167015
6.0,17.445822206907117,11.666749702010708
6.0,18.439668129486904,11.902549897361434
24.0,19.593915343298274,11.48826968302363
24.0,18.632450187468898,11.540128067122533
24.0,20.708962132608626,11.363394395316384
48.0,19.27460750686606,10.946987037287784
48.0,19.580308367480324,10.284498158747335
48.0,18.299535656712287,9.652349514128094
