time_hr,PAO1,SC5314
0.0,16.86840926542453,11.056622367796578
0.0,15.930864485746234,10.58175132485504
0.0,17.125966037426387,11.911466456676411
3.0,17.86597412560998,11.706164979347708
3.0,17.52962461539476,10.210351828696087
3.0,18.15272779653177,11.120566067838043
6.0,16.549874385365573,10.950649303738377
6.0,17.0055472386749,11.2766362959435
6.0,18.413357818954033,11.4295372095782
24.0,19.999702491806133,10.18835019977044
24.0,19.464632676904312,10.569428283831606
24.0,20.706686105787586,10.938480841440844
48.0,19.376831483219057,11.682635696910213
48.0,19.191863923336633,11.895508802972389
48.0,18.325834037166842,10.568653706975336
72.0,18.86417572412269,12.482368166835757
72.0,18.38991484809657,11.745627414351704
72.0,18.841149881393434,10.690507990223786
96.0,20.244456557084497,12.899117622223926
96.0,20.113945712730867,13.417936313270243
96.0,20.25972753116111,12.164079744903534
