time_hr,PAO1,SC5314
0.0,20.70814232006562,11.502430566283625
0.0,19.015354057420392,11.140253152976046
0.0,20.32751860177117,10.922104972905505
24.0,18.1828923466009,11.818708114388912
24.0,17.637335302369202,11.835111659985884
24.0,18.182846278370977,11.565210166222762
48.0,18.063120477178654,12.60383678791862
48.0,17.85467766454983,12.332619518535925
48.0,17.392353904926985,11.000242604403196
72.0,19.585298735833348,13.336654058033176
72.0,19.733061335330685,13.536882112997105
72.0,20.019094327471933,13.026728540074691
