time_hr,PAO1,SC5314
0.0,16.531539117294955,10.740091560380378
0.0,16.757417109965008,10.871549540593524
0.0,16.856530882262923,11.563258297205516
3.0,17.700232704914004,10.767847427784806
3.0,19.095745250198707,11.310022460152945
3.0,19.040980711521257,11.812634313981386
6.0,18.79798307047819,11.930585731077885
6.0,16.986696325383363,11.54349243359969
6.0,16.839636815847257,11.41918963474488
24.0,20.70814232006562,11.502430566283625
24.0,19.015354057420392,11.140253152976046
24.0,20.32751860177117,10.922104972905505
